بيانات المنتج,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
النوع ,أسم المنتج,تصنيف المنتج,صورة المنتج,وصف صورة المنتج,نوع المنتج,سعر المنتج,الوصف,هل يتطلب شحن؟,رمز المنتج sku,سعر التكلفة,السعر المخفض,تاريخ بداية التخفيض,تاريخ نهاية التخفيض,اقصي كمية لكل عميل,إخفاء خيار تحديد الكمية,اضافة صورة عند الطلب,الوزن,وحدة الوزن,الماركة,العنوان الترويجي,تثبيت المنتج,الباركود,السعرات الحرارية,MPN,GTIN,خاضع للضريبة ؟,سبب عدم الخضوع للضريبة,[1] الاسم,[1] النوع,[1] القيمة,[1] الصورة / اللون,[2] الاسم,[2] النوع,[2] القيمة,[2] الصورة / اللون,[3] الاسم,[3] النوع,[3] القيمة,[3] الصورة / اللون
منتج,عطر لوبين كوندوتيير - 100 مل - Lubin Condottiere,العطور,,عطر لوبين كوندوتيير - 100 مل - Lubin Condottiere,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عطر لوبين كوندوتيير - 100 مل - Lubin Condottiere |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر لوبين أبر تن - 100 مل - Lubin Upper Ten,العطور,,عطر لوبين أبر تن - 100 مل - Lubin Upper Ten,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عطر لوبين أبر تن - 100 مل - Lubin Upper Ten |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر لوبين دايمو - 100 مل - Lubin Daimyo,العطور,,عطر لوبين دايمو - 100 مل - Lubin Daimyo,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عطر لوبين دايمو - 100 مل - Lubin Daimyo |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,شامبو الارجان المغربي من ارجان ميداس 450مل,العطور,,شامبو الارجان المغربي من ارجان ميداس 450مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,شامبو الارجان المغربي من ارجان ميداس 450مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,بورجوا أحمر شفاه سائل روج فيلفيت إنك 22,العطور,,بورجوا أحمر شفاه سائل روج فيلفيت إنك 22,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,بورجوا أحمر شفاه سائل روج فيلفيت إنك 22 |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,باليت احمر الخدود - بيبي بينك من هدى ييوتي,العطور,,باليت احمر الخدود - بيبي بينك من هدى ييوتي,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,باليت احمر الخدود - بيبي بينك من هدى ييوتي |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,مجموعة احمر الشفاه للعطلات من سيفورا - 10 قطع,العطور,,مجموعة احمر الشفاه للعطلات من سيفورا - 10 قطع,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,مجموعة احمر الشفاه للعطلات من سيفورا - 10 قطع |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,استشوار مجفف الشعر 1800 واط RE-2068‏ من ريبون,العطور,,استشوار مجفف الشعر 1800 واط RE-2068‏ من ريبون,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,استشوار مجفف الشعر 1800 واط RE-2068‏ من ريبون |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,جهاز تدليك العضلات بقوة 30 واط من ريبون,العطور,,جهاز تدليك العضلات بقوة 30 واط من ريبون,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,جهاز تدليك العضلات بقوة 30 واط من ريبون |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,سيروم هيالوتوين للترطيب المكثف من ايكوال بيري - 30 مل,العطور,,سيروم هيالوتوين للترطيب المكثف من ايكوال بيري - 30 مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,سيروم هيالوتوين للترطيب المكثف من ايكوال بيري - 30 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,"ايكوال بيري, سيروم الكولاجين و الببتيدات لشد ونضارة البشرة, 30مل",العطور,,"ايكوال بيري, سيروم الكولاجين و الببتيدات لشد ونضارة البشرة, 30مل",منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,"ايكوال بيري, سيروم الكولاجين و الببتيدات لشد ونضارة البشرة, 30مل |  |  - مهووس العطور",,,,,,نعم,,,,,,,,,,,,,
